twitter_link,text,date,likes,comments
https://twitter.com/Pizza_DAO/status/1782057700970385510#m,"🍕 ☎️  Community Call Sunday, April 21 on @discord ! ☎️ 🍕  🌞 10am PDT / 1pm EDT / 7pm CDT 🌕   Sunday's Menu:  🍕2024 Global Pizza Party May 22 planning 🗳️ Proposals and Hiring  🤫 Meet us at ⁠🤌 The Back Room  https://discord.com/events/812097286003359764/1229135178413117511/1231650658713600000 #PizzaDAO #RarePizzas","Apr 21, 2024 · 2:43 PM UTC",18,2
https://twitter.com/Pizza_DAO/status/1782031582569636132#m,Join us here: https://discord.com/events/812097286003359764/1231589816353820703,"Apr 21, 2024 · 1:00 PM UTC",3,0
https://twitter.com/Pizza_DAO/status/1782031579209933063#m,Global Pizza Party Host training session starts... now! Link below 👇,"Apr 21, 2024 · 1:00 PM UTC",76,3
https://twitter.com/Pizza_DAO/status/1781043203556221169#m,⌐◨-◨🍕🏆 La Fiesta Mundial de Pizza va a ser super nounish en LATAM gracias a @NounsDAOAmigos 👏,"Apr 18, 2024 · 7:32 PM UTC",49,2
https://twitter.com/Pizza_DAO/status/1779958631376552081#m,📣🗳 Current Proposals In @discord 🗳📣  Product Proposal: PizzaDAO Mixtape Volume II Quorum: 19/35⁠  Product Proposal: Catch the Pizza AR Game Quorum: 6/25  Hiring Proposal: European Underboss Quorum: 9/20  All @RarePizzas box and pizza holders can vote https://discord.com/channels/812097286003359764/812396859255160852,"Apr 15, 2024 · 7:43 PM UTC",14,1
https://twitter.com/Pizza_DAO/status/1779902936685924518#m,🛡️🍕🎨 Creator rewards split 2 ways between PizzaDAO and @EricJohnArt. https://zora.co/collect/base:0x84e138bd5a0dff81f0c05320b81709a40a01289e/2,"Apr 15, 2024 · 4:01 PM UTC",8,0
https://twitter.com/Pizza_DAO/status/1779902935394124246#m,"🛡️🍕🎨 We are proud to partner with @StandWithCrypto to coordinate advocacy across the United States on #BitcoinPizzaDay. In honor of our collaboration, we commissioned this pizza from @EricJohnArt.   Mint open for 72 hours on @ourZORA 👇","Apr 15, 2024 · 4:01 PM UTC",69,12
https://twitter.com/Pizza_DAO/status/1779556059226476905#m,Call starts... now! 🍕🤙 https://discord.com/events/812097286003359764/1229114012546105505,"Apr 14, 2024 · 5:03 PM UTC",2,0
https://twitter.com/Pizza_DAO/status/1779539176712491394#m,🗺️🍕🥳 #GlobalPizzaParty Host Kickoff Call starts in 5 minutes! Join us on @Pizza_DAO's discord to learn about how to bring the party to your city on #BitcoinPizzaDay.   Link: https://discord.com/events/812097286003359764/1228021465547280484,"Apr 14, 2024 · 3:56 PM UTC",51,1
https://twitter.com/Pizza_DAO/status/1779290725865140723#m,📆 Events   🤠 Consensus 2024 May 29-June 1   🇧🇪 EthCC 7 July 8-11 🎶 Pizza Mixtape Volume 2 🥤 Pizza Pops and 🎁 Pizza Box updates 🗳️ Proposals and Hiring 👩🏼‍💻 Business Development 🤫 Meet us in The Back Room https://discord.com/events/812097286003359764/1227656609119993907 #pizzadao #rarepizzas,"Apr 13, 2024 · 11:29 PM UTC",2,1
https://twitter.com/Pizza_DAO/status/1779290722270679311#m,"🍕 ☎️  Community Call Sunday, April 14 on @discord  🍕  🌞 10am PDT / 1pm EDT / 7pm CDT 🌕   Sunday's Menu:  🗽 NFT NYC video  📆 Events     🇦🇪 TOKEN2049 April 18-19 🇪🇪 ETH Tallinn April 19-21 🍕2024 Global Pizza Party May 22 🇵🇹 NFC Lisbon May 28-30","Apr 13, 2024 · 11:29 PM UTC",24,3
https://twitter.com/Pizza_DAO/status/1779289931807867201#m,"📣🍕📆 Global Pizza Party Host Kickoff Call Sunday, April 14, 2024📆🍕📣 🌞 9am PDT / 12pm EDT / 6pm CDT 🌕   Join us if you're hosting a party or are interested in hosting a pizza party on Wednesday, May 22, 2024 to celebrate Bitcoin Pizza Day  https://discord.com/events/812097286003359764/1228021465547280484 #pizzadao","Apr 13, 2024 · 11:25 PM UTC",13,1
https://twitter.com/Pizza_DAO/status/1779212553857433665#m,"Minting closes in 17 hours, get yours while it's hot! ⌐◨-◨ 🍕","Apr 13, 2024 · 6:18 PM UTC",7,0
https://twitter.com/Pizza_DAO/status/1778891145818333318#m,"And remember, #BitcoinPizzaDay is May 22! 🗺️🍕🥳","Apr 12, 2024 · 9:01 PM UTC",12,0
https://twitter.com/Pizza_DAO/status/1778891144450949264#m,👨 Learn dad jokes w/ @CryptoDadsNFT 💰 Do your taxes w/ @TokenTax 🤖 Beep boop @SolariansNFT 🌳 Cross-pollinate w/ @bittrees_ 🫂 Make friends @NewFriendTech 🍕 Collect bitcoin pizza history @PizzaArtifacts 🪦 See if $DOT is dead @realDEDgames 🔥 Get lifted w/ @happymunkey420,"Apr 12, 2024 · 9:01 PM UTC",11,1
